"","group.label"
"1","A_Han-4.DG"
"2","A_Mbuti-5.DG"
"3","A_Karitiana-4.DG"
"4","A_Yoruba-4.DG"
"5","A_Sardinian-4.DG"
"6","A_French-4.DG"
"7","A_Dinka-4.DG"
"8","A_Dai-5.DG"
"9","A_Mandenka-4.DG"
"10","A_Ju_hoan_North-5.DG"
"11","A_Papuan-16.DG"
"12","S_Jordanian-2.DG"
"13","S_Yakut-1.DG"
"14","S_Altaian-1.DG"
"15","BR_Kurumba-1.DG"
"16","S_Luo-2.DG"
"17","S_Spanish-1.DG"
"18","S_Igbo-2.DG"
"19","S_Jordanian-3.DG"
"20","S_Punjabi-2.DG"
"21","S_Naxi-2.DG"
"22","S_Mbuti-3.DG"
"23","S_Adygei-1.DG"
"24","S_Bougainville-2.DG"
"25","S_Irula-2.DG"
"26","S_French-1.DG"
"27","S_Piapoco-1.DG"
"28","S_Bergamo-1.DG"
"29","S_Biaka-2.DG"
"30","S_Mandenka-1.DG"
"31","S_Kalash-1.DG"
"32","S_Burusho-1.DG"
"33","S_BedouinB-1.DG"
"34","S_Ju_hoan_North-2.DG"
"35","S_Papuan-1.DG"
"36","S_Surui-2.DG"
"37","S_Yoruba-2.DG"
"38","S_Iraqi_Jew-2.DG"
"39","S_Polish-1.DG"
"40","T_Sherpa-1.DG"
"41","S_Kalash-2.DG"
"42","S_Mandenka-2.DG"
"43","S_Daur-2.DG"
"44","S_Hazara-1.DG"
"45","S_BedouinB-2.DG"
"46","S_Burusho-2.DG"
"47","S_BantuHerero-2.DG"
"48","S_Mongola-2.DG"
"49","S_Oroqen-2.DG"
"50","S_Papuan-5.DG"
"51","S_Itelman-1.DG"
"52","S_Tlingit-2.DG"
"53","S_Yakut-2.DG"
"54","S_Eskimo_Chaplin-1.DG"
"55","S_Druze-1.DG"
"56","S_Papuan-13.DG"
"57","S_Kusunda-2.DG"
"58","S_Burmese-2.DG"
"59","S_Relli-1.DG"
"60","S_Kapu-1.DG"
"61","S_Tuscan-1.DG"
"62","S_Sindhi-2.DG"
"63","S_Russian-2.DG"
"64","S_Kongo-2.DG"
"65","T_Mada-1.DG"
"66","S_Oroqen-1.DG"
"67","S_Mongola-1.DG"
"68","S_Hazara-2.DG"
"69","T_Bakola-1.DG"
"70","S_Quechua-1.DG"
"71","S_Dusun-2.DG"
"72","S_Cree-2.DG"
"73","T_Mursi-1.DG"
"74","T_Kaba-2.DG"
"75","T_Aari-2.DG"
"76","S_Hungarian-1.DG"
"77","S_Tajik-2.DG"
"78","S_Abkhasian-1.DG"
"79","S_Chane-1.DG"
"80","S_Iranian-1.DG"
"81","S_Igbo-1.DG"
"82","S_Yadava-2.DG"
"83","S_Ami-1.DG"
"84","S_Cambodian-2.DG"
"85","T_Hadza-2.DG"
"86","T_Tikar_South-1.DG"
"87","T_Ogiek-1.DG"
"88","S_Korean-1.DG"
"89","S_Dai-2.DG"
"90","S_Uygur-2.DG"
"91","S_Eskimo_Sireniki-1.DG"
"92","S_Even-3.DG"
"93","S_Icelandic-2.DG"
"94","S_Thai-2.DG"
"95","S_Papuan-10.DG"
"96","S_Dinka-2.DG"
"97","S_Esan-1.DG"
"98","T_Kikuyu-2.DG"
"99","S_Brahmin-1.DG"
"100","S_Quechua-3.DG"
"101","T_Sengwer-2.DG"
"102","S_Madiga-1.DG"
"103","T_Sandawe-1.DG"
"104","T_Amhara-1.DG"
"105","T_Laka-1.DG"
"106","S_Igorot-2.DG"
"107","S_Uygur-1.DG"
"108","S_Punjabi-4.DG"
"109","S_Finnish-3.DG"
"110","B_Australian-3.DG"
"111","B_Mixe-1.DG"
"112","B_Sardinian-3.DG"
"113","B_Yoruba-3.DG"
"114","B_Karitiana-3.DG"
"115","B_Australian-4.DG"
"116","B_Mandenka-3.DG"
"117","B_Mbuti-4.DG"
"118","B_Papuan-15.DG"
"119","B_Ju_hoan_North-4.DG"
"120","S_Ju_hoan_North-1.DG"
"121","S_Ami-2.DG"
"122","S_Mansi-2.DG"
"123","S_Papuan-12.DG"
"124","S_She-1.DG"
"125","S_Eskimo_Naukan-2.DG"
"126","S_BantuTswana-1.DG"
"127","S_Even-1.DG"
"128","S_Iraqi_Jew-1.DG"
"129","T_Sherpa-2.DG"
"130","S_Czech-2.DG"
"131","B_Crete-1.DG"
"132","S_Bengali-1.DG"
"133","S_Lezgin-2.DG"
"134","S_Greek-1.DG"
"135","S_Yi-1.DG"
"136","S_Armenian-1.DG"
"137","S_Estonian-2.DG"
"138","S_Pima-2.DG"
"139","S_Tujia-2.DG"
"140","B_Dai-4.DG"
"141","S_Atayal-1.DG"
"142","S_Luhya-2.DG"
"143","S_English-1.DG"
"144","S_Tubalar-2.DG"
"145","B_Crete-2.DG"
"146","T_Tibetan-2.DG"
"147","S_Irula-1.DG"
"148","S_Yadava-1.DG"
"149","T_Bedzan-1.DG"
"150","S_Igorot-1.DG"
"151","S_Tajik-1.DG"
"152","S_Finnish-1.DG"
"153","S_Kinh-1.DG"
"154","T_Aari-1.DG"
"155","T_Kaba-1.DG"
"156","S_Tujia-1.DG"
"157","S_Thai-1.DG"
"158","S_Dinka-1.DG"
"159","S_Aleut-2.DG"
"160","S_Eskimo_Sireniki-2.DG"
"161","S_Brahui-2.DG"
"162","S_Tu-1.DG"
"163","S_Pathan-1.DG"
"164","S_Papuan-2.DG"
"165","S_Sardinian-1.DG"
"166","S_Papuan-9.DG"
"167","S_Russian-1.DG"
"168","S_Sindhi-1.DG"
"169","S_Tuscan-2.DG"
"170","T_Elmolo-2.DG"
"171","T_Baka-1.DG"
"172","S_Dai-3.DG"
