"","group","subregion","individuals","mean.ycoord","mean.xcoord","date","pnpla3","reference","scale"
"1",1,"South America",25,-37.4979467573611,-59.9468059379167,495.516666666667,0.64,0.36,3
"2",2,"Middle America",7,14.091,-60.926,727.428571428571,0.857142857142857,0.142857142857143,2
"3",3,"North America",1,47.989444,-66.7125,687,1,0,2
"4",4,"South America",50,-1.77876390763889,-70.4978549881944,1205.69444444444,0.92,0.08,4
"5",5,"Middle America",3,19.10400695,-97.0991139,1822.5,1,0,2
"6",6,"Middle America",18,17.28684375,-63.79284375,873,0.944444444444444,0.0555555555555556,3
"7",7,"North America",24,47.2428952583333,-143.574004654167,888.75,0.541666666666667,0.458333333333333,3
"8",8,"Middle America",24,24.674118875,-76.640133875,761.083333333333,0.708333333333333,0.291666666666667,3
"9",9,"Middle America",37,22.713972972973,-80.9812162162162,1343.13513513514,0.972972972972973,0.027027027027027,4
"10",10,"Middle America",117,19.1458434782609,-70.7907686,888.165217391304,0.88034188034188,0.11965811965812,5
"11",11,"North America",8,61.00625,-45.5075,909.625,0.375,0.625,2
